crimeID;offenderID
1;1
2;2
2;3
3;4
5;5
6;6
7;7
8;8
9;9
9;10
10;11
13;12
13;13
14;14
16;15
17;16
17;17
17;18
18;19
18;20
19;21
20;22
21;23
21;24
22;25
24;26
25;27
26;28
26;29
26;30
26;31
27;32
29;33
33;34
35;35
36;36
37;37
39;38
39;39
42;40
43;41
44;42
45;43
46;44
49;45
49;46
50;47
51;48
53;49
53;50
53;51
53;52
55;53
55;54
56;55
56;56
57;57
58;58
61;59
62;60
63;61
63;62
63;63
64;64
65;65
65;66
66;67
67;68
67;69
68;70
69;71
69;72
70;73
71;74
72;75
74;76
76;77
76;78
76;79
76;80
77;81
78;82
79;83
80;84
83;85
85;86
86;87
86;88
86;89
87;90
88;91
88;92
88;93
92;94
93;64
94;95
95;96
96;64
97;97
98;98
100;27
101;99
103;100
107;101
108;102
109;103
110;22
111;104
112;105
113;106
114;107
115;108
115;109
115;110
117;111
119;112
120;113
121;114
121;115
122;15
123;116
124;117
125;118
125;119
126;120
126;121
128;114
128;115
129;122
130;123
131;124
131;125
131;126
132;127
133;128
133;129
134;130
136;131
136;132
136;133
137;134
137;135
137;136
138;137
140;138
140;139
144;140
145;141
146;142
147;143
148;144
149;145
151;146
151;147
152;148
152;149
152;150
153;151
153;152
154;153
155;154
155;155
156;156
156;157
156;158
156;159
158;160
158;161
159;162
161;163
162;164
162;165
162;166
162;167
163;168
163;169
164;170
164;171
164;166
165;172
166;173
167;174
168;175
170;176
171;177
172;112
173;178
175;179
175;180
176;181
176;182
177;183
178;184
179;185
179;186
180;187
181;188
182;189
182;190
183;191
184;192
185;193
185;194
185;195
185;196
185;197
186;198
187;199
187;200
188;201
188;54
189;202
192;203
192;204
192;205
193;206
194;207
195;208
198;209
200;210
200;211
203;212
204;96
205;213
205;214
206;215
207;216
208;217
209;218
211;219
211;220
212;221
214;222
215;64
216;223
217;224
218;225
219;226
220;227
221;228
222;229
222;230
222;231
223;154
223;155
224;232
225;233
225;234
225;235
225;236
226;237
227;238
228;239
228;240
228;241
228;242
229;243
230;244
230;245
230;246
230;247
230;248
234;249
235;250
236;251
238;252
238;253
238;254
238;255
240;256
241;225
242;257
244;258
249;259
249;260
249;261
250;262
251;26
252;263
252;264
253;101
253;265
255;266
259;267
260;268
260;269
260;270
260;271
261;272
262;273
264;274
265;123
266;275
267;276
267;277
267;278
268;279
268;280
268;281
269;282
269;283
270;284
271;285
273;286
273;287
274;288
275;289
276;290
277;23
277;24
279;291
281;292
282;293
283;294
283;295
284;296
285;297
285;298
287;299
288;300
289;116
290;301
290;302
291;303
291;223
292;304
293;305
294;306
296;307
298;308
298;309
299;310
300;311
300;312
300;313
301;314
302;315
303;316
303;317
303;318
304;319
305;1
306;58
307;320
308;321
309;322
310;323
311;324
311;325
312;326
313;327
314;328
314;329
315;330
316;331
317;332
317;333
318;334
320;335
322;215
323;336
323;337
324;338
325;339
325;340
327;341
328;342
328;343
329;170
329;171
329;166
330;344
331;345
331;346
332;347
333;348
333;349
337;350
337;351
338;352
338;353
338;354
339;355
340;356
341;357
342;358
343;359
344;360
344;361
345;362
346;363
347;364
347;365
348;366
349;367
351;368
351;369
352;370
353;371
353;372
354;373
354;374
356;375
357;376
357;377
357;378
357;379
358;380
359;381
360;382
361;383
362;384
363;385
364;386
366;239
366;240
366;241
366;242
367;387
369;388
369;389
370;390
370;391
370;392
371;393
372;394
372;395
373;396
374;397
374;398
374;399
375;400
375;401
375;402
376;403
376;404
379;405
379;406
379;407
380;408
380;409
381;410
382;411
384;412
385;413
386;414
386;415
387;416
388;417
389;418
390;419
391;420
392;7
393;421
394;422
394;423
395;37
396;424
397;425
399;426
399;427
400;428
401;116
402;429
403;430
403;431
403;432
403;433
404;434
405;435
406;436
406;437
407;438
407;439
407;440
408;441
408;442
409;422
410;443
410;414
411;444
412;445
413;446
414;447
414;448
414;449
415;450
415;451
416;452
417;18
418;453
419;454
419;455
421;380
421;456
422;457
422;85
423;458
424;459
425;460
425;461
426;462
426;463
427;464
427;465
427;466
428;467
429;468
431;469
434;470
434;471
434;472
435;308
435;309
437;286
437;287
439;473
439;474
440;475
440;476
441;477
442;478
443;479
443;480
443;258
443;481
444;482
444;483
447;484
447;485
447;486
448;487
449;488
452;489
452;490
453;491
454;492
456;493
457;494
458;495
458;496
461;300
462;497
464;498
464;499
464;500
464;501
464;502
465;503
466;263
466;504
466;505
466;506
467;507
468;508
469;275
470;263
470;509
470;505
470;510
471;13
471;511
472;128
