offenderID;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22
17191;26.0;3.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;2.0;2.0;2.0;0.0;19.0;0.0;1.0;26.0;18.0;53539.0
15045;16.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;1.0;0.0;3.0;0.0;2.0;8.0;0.0;0.0;16.0;16.0;33617.9
12114;13.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;13.0;31.0;17530.9
10988;19.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;16.0;0.0;0.0;19.0;20.0;31089.1
11357;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;32.0;10801.0
15670;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;4.0;48.0;14961.7
240;91.0;1.0;0.0;0.0;0.0;0.0;0.0;67.0;16.0;5.0;2.0;0.0;3.0;53.0;2.0;0.0;11.0;0.0;0.0;91.0;21.0;11689.9
13421;46.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0;3.0;0.0;0.0;2.0;1.0;2.0;25.0;1.0;0.0;46.0;20.0;20919.6
15885;24.0;4.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;2.0;0.0;4.0;0.0;0.0;12.0;3.0;0.0;24.0;28.0;9226.0
12845;24.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;2.0;1.0;4.0;0.0;3.0;2.0;3.0;11.0;0.0;1.0;24.0;16.0;42059.4
2431;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;24.0;
4432;25.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;1.0;2.0;2.0;8.0;1.0;1.0;14.0;2.0;0.0;25.0;27.0;13903.8
10445;32.0;1.0;0.0;0.0;1.0;0.0;1.0;14.0;10.0;3.0;4.0;0.0;0.0;5.0;1.0;2.0;10.0;0.0;0.0;32.0;19.0;34665.7
8837;17.0;2.0;0.0;0.0;0.0;0.0;1.0;11.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;7.0;0.0;1.0;17.0;18.0;14276.8
16509;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;5.0;28.0;49931.5
13820;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;11.0;0.0;0.0;12.0;24.0;54985.6
15150;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;1.0;0.0;6.0;39.0;28708.3
8146;28.0;3.0;0.0;0.0;1.0;0.0;0.0;5.0;2.0;5.0;2.0;2.0;0.0;1.0;0.0;3.0;13.0;0.0;0.0;28.0;18.0;13360.1
13615;14.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;1.0;14.0;35.0;9469.0
8764;38.0;0.0;2.0;0.0;2.0;0.0;0.0;9.0;18.0;4.0;6.0;5.0;0.0;5.0;7.0;3.0;16.0;0.0;1.0;38.0;18.0;39321.0
15094;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;10.0;43.0;
12481;9.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;9.0;17.0;60540.6
13300;39.0;0.0;7.0;0.0;0.0;0.0;0.0;4.0;17.0;4.0;4.0;9.0;0.0;2.0;5.0;5.0;20.0;1.0;2.0;39.0;26.0;29625.5
1866;30.0;3.0;0.0;0.0;3.0;0.0;0.0;11.0;4.0;4.0;1.0;5.0;2.0;6.0;3.0;1.0;16.0;2.0;4.0;30.0;19.0;12787.5
13136;12.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;4.0;4.0;0.0;0.0;12.0;24.0;56408.3
6591;12.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;3.0;1.0;0.0;0.0;2.0;0.0;0.0;8.0;0.0;0.0;12.0;16.0;11861.2
